id,slice,plugin,package,class,file_path,category,issue_type,severity,confidence,status,title,description,instances,trigger_input,suggested_fix,effort,llm_value,related,github_issue
CR-015,A3,org.mwc.cmap.core,org.mwc.cmap.core.operations,RightClickCutCopyAdaptor,org.mwc.cmap.core/src/org/mwc/cmap/core/operations/RightClickCutCopyAdaptor.java,security,unsafe-deserialization,High,High,candidate,Clipboard bytes deserialized with unfiltered ObjectInputStream (EditableTrans...,"EditableTransfer.nativeToJava wraps the raw byte[] pulled from the system clipboard (SWT type name CMAP_EDITABLE, L519) in a plain ObjectInputStream and calls readObject() with no ObjectInputFilter, class allowlist or size limit. Any other process on the desktop (or an RDP/VNC/browser clipboard-sync peer) can place bytes under that type name, so a Paste, or even a Cut (CutItem.rememberPreviousContents L221 reads the clipboard before overwriting it), deserializes attacker-controlled data. The bundle classloader reaches every Serializable class in cmap.core and its required bundles, so both DoS payloads (nested HashSet/serialDOS) and any available gadget chain execute during readObject before the Editable[] cast at L606.",L519-L521; L593-L616; L221,Attacker process calls SetClipboardData/ XSetSelection with format CMAP_EDITABLE containing a serialized SerialDOS object graph; analyst right-clicks Paste (or Cut) in the Outline view.,"Install an ObjectInputFilter (ObjectInputStream.setObjectInputFilter) that allowlists MWC.*/Debrief.* Editable classes, java.lang/java.util basics and arrays, with maxdepth/maxarray/maxbytes limits; alternatively keep the clipboard payload in-process (store the Editable[] in a static and only put an opaque token on the clipboard).",M,Needs reasoning that SWT ByteArrayTransfer contents originate outside the JVM and that Cut also reads the clipboard; a grep for ObjectInputStream finds the line but not the trust boundary.,-,
CR-018,A4+A11,.github,-,main.yml,.github/workflows/main.yml,supply-chain,vulnerable-dependency,High,High,candidate,Windows product ships AdoptOpenJDK 11.0.5+10 (Oct 2019) fetched without checksum,"main.yml L152-157 wget-downloads OpenJDK11U-jre_x64_windows_hotspot_11.0.5_10.zip from the archived AdoptOpenJDK GitHub releases with no SHA256 verification, caches it (L145-150) and bundles it into org.mwc.debrief.combined.feature/win-64/jre (L162-169). Windows users therefore run a JRE missing roughly 25 quarterly CPUs (e.g. CVE-2020-2803/2805 deserialisation, CVE-2020-14583, CVE-2021-2163, CVE-2022-21496 JNDI, CVE-2023-21930 TLS, CVE-2024-21011..21094) while Debrief parses untrusted XML/ZIP/Office files with JDK classes; a tampered download would also be bundled silently. || L156-157 download OpenJDK11U-jre_x64_windows_hotspot_11.0.5_10.zip and L162-169 stage it into org.mwc.debrief.combined.feature/win-64 so it is bundled inside DebriefNG-Windows64Bit.zip and the MSI (contribs/msi/make_x64msi.sh L13 uses the same URL). 11.0.5 predates roughly 25 quarterly CPUs; every released Windows Debrief runs the analyst's untrusted data files on a JRE with dozens of known CVEs (e.g. CVE-2020-2803, CVE-2020-14583, CVE-2021-2163, CVE-2022-21496, CVE-2023-21930, CVE-2024-21011). The cache key `win-jre-11.0.5-10` (L150) pins it further.",.github/workflows/main.yml L145-L157; L162-L169; L145-157; L162-169; contribs/msi/make_x64msi.sh L13,Any release build: the JRE zip is trusted as downloaded; end-user opens a malicious file with the bundled 2019 JRE.,"Pin the latest Temurin 11/17 (or 25 per #5237) via the Adoptium API with the published SHA256 checked (sha256sum -c) or use actions/setup-java's JRE download with checksum, and bump on each release.",S,grep-able for the URL; the impact needed the age comparison and product-bundling step.,#5237; CVE-2022-21496; CVE-2020-2803,
CR-019,A4,org.mwc.cmap.legacy,-,commons-compress-1.19.jar,org.mwc.cmap.legacy/libs/commons-compress-1.19.jar,supply-chain,vulnerable-dependency,High,Medium,candidate,commons-compress 1.19 zip OOM (CVE-2021-36090) reachable via .docx import,"commons-compress 1.19 is vulnerable to CVE-2021-36090 (crafted ZIP makes ZipFile/ZipArchiveInputStream allocate huge memory), CVE-2021-35515/35516/35517 (7z, tar infinite loop/OOM) and CVE-2024-25710. It is on the cmap.legacy Bundle-ClassPath (L18) and is the ZIP implementation POI 4.1.2's OPCPackage uses when Debrief opens OOXML files, so it is reachable from MsDocXLoader (.docx) and ImportASWDataDocument (XWPFDocument at L616). Debrief's own use is only GzipUtils filename helpers in Import_CSV_GZ tests.","org.mwc.cmap.legacy/META-INF/MANIFEST.MF L18; org.mwc.debrief.legacy/src/Debrief/ReaderWriter/Word/ImportRiderNarrativeDocument.java L343, L354; org.mwc.debrief.legacy/src/Debrief/ReaderWriter/Word/ImportASWDataDocument.java L616; org.mwc.debrief.core/plugin.xml L228",A .docx whose ZIP central directory is crafted per CVE-2021-36090 opened via File > Open (extension docx).,Upgrade commons-compress to 1.26.x+ together with POI 5.x (POI 5 requires commons-compress 1.21+).,S,Required knowing POI delegates OOXML zip handling to commons-compress; OSV alone flags the jar but not the .docx path.,CVE-2021-36090; CVE-2021-35515; CVE-2021-35516; CVE-2021-35517; CVE-2024-25710; #5237,
CR-020,A4,org.mwc.cmap.media,-,xuggle-xuggler.jar,org.mwc.cmap.media/lib/xuggle-xuggler.jar,supply-chain,vulnerable-dependency,High,Medium,candidate,Xuggler 4.0.1084 (2011) ships unpatched native FFmpeg for analyst media,"xuggle-xuggler.jar (Implementation-Version 4.0.1084, built 2011, project abandoned 2013) wraps native libavcodec/libavformat from the FFmpeg 0.x era via jni_helper.jar and is loaded by NativeLibrariesLoader; PlayingThread L228 IContainer.make() opens whatever video/audio file the analyst attaches to a plot. Every FFmpeg memory-safety CVE published since 2011 therefore applies to the shipped natives and no update is possible. Plugin is shipped in org.mwc.cmap.combined.feature.",org.mwc.cmap.media/META-INF/MANIFEST.MF L18-L26; org.mwc.cmap.media/src/org/mwc/cmap/media/xuggle/impl/PlayingThread.java L228; org.mwc.cmap.media/src/org/mwc/cmap/media/xuggle/NativeLibrariesLoader.java,A crafted .avi/.mp4 opened in the Debrief media player view.,"Replace Xuggler with JavaFX Media, VLCJ (system libvlc) or a maintained javacv/ffmpeg-platform artifact that is updated with the build; or drop video playback.",L,No Maven coordinates exist so OSV/Dependabot cannot flag it; needed manifest inspection and knowing Xuggler embeds FFmpeg natives.,#5237,
CR-021,A4,org.mwc.debrief.core,-,jdom-1.0.jar,org.mwc.debrief.core/libs/jdom-1.0.jar,supply-chain,vulnerable-dependency,High,High,candidate,JDOM 1.0 SAXBuilder (CVE-2021-33813) parses untrusted .gpx with XXE enabled,"JDOM before 2.0.6.1 (CVE-2021-33813) resolves external entities by default and has no safeguards; jdom-1.0.jar dates from 2004. GpxUtil.getDocumentSource builds a default SAXBuilder (L87) and parses the GPX file stream (L88) for every GPX import registered at plugin.xml L176, so a hostile .gpx can exfiltrate local files via an external DTD/entity or trigger billion-laughs.",org.mwc.debrief.core/META-INF/MANIFEST.MF L6 (Bundle-ClassPath); org.mwc.debrief.core/src/org/mwc/debrief/core/loaders/GpxUtil.java L87-L88; org.mwc.debrief.core/plugin.xml L176,".gpx starting with <!DOCTYPE gpx [<!ENTITY xxe SYSTEM ""file:///etc/passwd"">]> and using &xxe; in a <name> element","Replace with the platform JAXP parser (secure-processing on, disallow-doctype-decl) or JDOM 2.0.6.1 with builder.setFeature(""http://apache.org/xml/features/disallow-doctype-decl"", true); setExpandEntities(false).",S,grep-able for SAXBuilder; the dependency-age link is what makes it a supply-chain row.,CVE-2021-33813,
CR-022,A4,org.mwc.debrief.legacy,-,pdfbox-2.0.3.jar,org.mwc.debrief.legacy/libs/pdfbox-2.0.3.jar,supply-chain,vulnerable-dependency,High,High,candidate,PDFBox 2.0.3 (2016) DoS/infinite-loop CVEs reachable via .pdf import,"pdfbox 2.0.3 and fontbox 2.0.3 are subject to CVE-2018-8036 (infinite loop in AFM parser), CVE-2018-11797 (infinite loop in crafted PDF), CVE-2021-27807/27906 (infinite loop / OOM loading PDF) and CVE-2021-31811/31812 (OOM and infinite loop). PDDocument.load(inputStream) is called on any file the analyst opens via PdfLoader (registered for extension pdf in org.mwc.debrief.core/plugin.xml L232), so a crafted PDF hangs or crashes the workbench.","org.mwc.debrief.legacy/META-INF/MANIFEST.MF L7, L9; Debrief/ReaderWriter/Word/ImportNarrativeDocument.java L1901-L1905; org.mwc.debrief.core/plugin.xml L232; org.mwc.debrief.core/src/org/mwc/debrief/core/loaders/PdfLoader.java L39-L40",Drag a PDF crafted per CVE-2021-31812 (self-referencing page tree) onto the plot; PDFTextStripper never returns.,Upgrade pdfbox/fontbox to 2.0.31+ (drop-in for the 2.0 API) or 3.0.x; run the import in a cancellable Job with a timeout.,S,grep-able once the version is known; reachability needed reading the loader registration.,CVE-2018-8036; CVE-2018-11797; CVE-2021-27807; CVE-2021-27906; CVE-2021-31811; CVE-2021-31812; #5237,
CR-023,A4,org.mwc.debrief.legacy,-,zip4j-1.3.2.jar,org.mwc.debrief.legacy/libs/zip4j-1.3.2.jar,supply-chain,vulnerable-dependency,High,High,candidate,zip4j 1.3.2 zip-slip: extractAll() on user-chosen .pptx template,"zip4j 1.3.2 (2015) has no path-traversal check in ZipFile.extractAll (CVE-2018-1002202) plus DoS on crafted archives (CVE-2022-24615) and skipped integrity checks (CVE-2023-22899). Debrief.ReaderWriter.powerPoint.UnpackFunction L67-68 calls new ZipFile(pptx_path).extractAll(unpack_path) on the PowerPoint export template the analyst picks in Preferences (org.mwc.debrief.core PrefsPage L115-119, invoked at L180), so a crafted template writes files anywhere the user can write. Referenced by MANIFEST.MF L17 and shipped.","org.mwc.debrief.legacy/META-INF/MANIFEST.MF L17; Debrief/ReaderWriter/powerPoint/UnpackFunction.java L67-L68; org.mwc.debrief.core/src/org/mwc/debrief/core/preferences/PrefsPage.java L115-L119, L180","A .pptx 'template' sent to an analyst containing an entry named ../../../../Users/<user>/AppData/Roaming/Microsoft/Windows/Start Menu/Programs/Startup/x.bat, selected in Preferences > Debrief > PPT template",Upgrade to net.lingala.zip4j:zip4j 2.11.5+ (API changed: package net.lingala.zip4j.ZipFile) and additionally canonicalise each entry path against the target directory before extraction.,S,Needed tracing PrefsPage -> PlotTracks -> UnpackFunction to show the archive is user-supplied rather than a build artefact.,CVE-2018-1002202; CVE-2022-24615; CVE-2023-22899,
CR-024,A5,org.mwc.cmap.legacy,MWC.Algorithms.EarthModels,FlatEarth,org.mwc.cmap.legacy/src/MWC/Algorithms/EarthModels/FlatEarth.java,algorithm-correctness,degenerate-input,High,High,verified,Default earth model does not wrap longitude across the antimeridian,"subtract() forms DELTA_LONG = LONG2 - LONG1 with no normalisation to [-pi,pi], and add() writes NEW_LONG without wrapping to [-180,180]. FlatEarth is the lazily-installed default model in WorldLocation, so every rangeFrom/bearingFrom crossing 180 deg longitude goes the long way round. Verified by compiling: rangeFrom((0,179.9E),(0,179.9W)) = 359.8 deg instead of 0.2 deg, bearing reversed. CompletelyFlatEarth (L195-L202) has the same defect.",L206-L213; L216-L228; L136-L141,".rep track with consecutive fixes at 179.95E and 179.95W: leg length, speed-over-ground, range/bearing tote and TMA solutions computed from these fixes are wrong by ~360 deg of arc; fit-to-window covers the whole globe.","Normalise DELTA_LONG to (-pi,pi] in subtract() (e.g. Math.atan2(sin,cos) or add/subtract 2pi) and wrap NEW_LONG in add(); mirror in CompletelyFlatEarth.",S,The invariant (longitude is cyclic) is domain knowledge; the arithmetic is otherwise well formed so no static rule flags it.,CompletelyFlatEarth L195-L202,
CR-025,A5,org.mwc.cmap.legacy,MWC.GenericData,WorldLocation,org.mwc.cmap.legacy/src/MWC/GenericData/WorldLocation.java,algorithm-correctness,unit-mismatch,High,High,verified,perpendicularDistanceBetween ignores cos(lat): cross-track distance wrong,"perpendicularDistanceBetween/rangeFrom(lineStart,lineEnd) builds Point2D from raw (long,lat) degrees and returns the Euclidean distance as WorldDistance.DEGS, so a longitude degree is weighted like a latitude degree regardless of latitude, and the result ignores the configured EarthModel. Verified by compiling the class: at 60N a point 1 deg of longitude east of a N-S segment reports 60.0 nm off-track where the true separation (same class, rangeFrom) is 30.0 nm; error is a factor 1/cos(lat) in the cross-track direction. Consumers include org.mwc.cmap.xyplot LocationCalculator (cross-track xy plots), SensorContactWrapper bearing-line hit testing and PolygonShape.",L281-L303; L625-L633; L692-L694,"Track at 60N, LocationCalculator cross-track distance of a fix 1 deg longitude off a north-south leg: reports 60 nm instead of 30 nm.","Scale x by cos(mean latitude) before the segment projection (or project via the EarthModel / rangeFrom with a great-circle cross-track formula) and only accept the inline test after switching it away from CompletelyFlatEarth, which currently masks the error.",S,Requires knowing that WorldDistance.DEGS means degrees of arc along a great circle (as returned by rangeFrom) while the code mixes it with a Euclidean degree distance; the inline test passes because it forces CompletelyFlatEarth.,-,
CR-026,A5+A9,org.mwc.cmap.legacy,MWC.Utilities.TextFormatting,DebriefFormatDateTime,org.mwc.cmap.legacy/src/MWC/Utilities/TextFormatting/DebriefFormatDateTime.java,algorithm-correctness,time-handling,High,High,verified,Two-digit-year export/parse window and negative-epoch formatting corrupt DTGs,"toString/toStringHiRes emit yyMMdd (two-digit year) and parseThis parses two-digit years with SimpleDateFormat's default pivot (now-80y .. now+20y), so any DTG outside that moving window is silently rewritten on a write/read round trip and the result depends on the machine date. Verified by compiling: 1945-01-01 -> ""450101 000000"" -> 2045-01-01; 2050-01-01 -> ""500101 000000"" -> 1950-01-01. Separately, for pre-1970 instants theVal % 1000 > 0 and micros % 1000 > 0 are false for negative remainders and wholeSeconds truncates toward zero, so 1969-12-31 23:59:59.500 is written as ""700101 000000"" and ""691231 235959"" (millis dropped). || parseThis picks TWO_DIGIT_YEAR_FORMAT ('yyMMdd HHmmss') whenever the date token is 6 digits. SimpleDateFormat maps yy into the window [now-80y, now+20y] fixed when the static formatter was created. Verified on 2026-09-23: '450101' -> 2045 but '470101' -> 1947; in 2028 the same file's '470101' flips to 2047. Historical REP data from before 1946 is already mis-dated, and any file with dates more than 20 years ahead silently lands a century early; nothing warns the user.",L151-L153; L186-L187; L255-L259; L319-L337; L346-L379; L252-L259,Export a historical (WWII) or long-range planning track to .rep or to any XML attribute written via toStringHiRes and re-import it: all fixes move by 100 years.,"Write four-digit years (yyyyMMdd) everywhere and, when parsing yy, call set2DigitYearStart with a fixed epoch documented in the format spec; use Math.floorMod/floorDiv for the sub-second arithmetic.",M,Needs knowledge of SimpleDateFormat's date-dependent two-digit-year pivot and of Java's sign-preserving % operator; the code reads as correct.,Debrief.ReaderWriter.Replay export,
CR-027,A6,org.mwc.debrief.legacy,Debrief.Wrappers,SensorContactWrapper,org.mwc.debrief.legacy/src/Debrief/Wrappers/SensorContactWrapper.java,bug,silent-data-loss,High,High,verified,compareTo returns 1 for equal-time cuts; TreeSet remove silently fails,"compareTo() returns 1 whenever DTGs are equal and the object is not the same instance (and when _DTG is null). This violates the Comparable contract, so once the TreeSet rebalances, TreeSet.remove()/contains() navigate past equal-time siblings and fail (verified: 4 equal-time items, remove of the first returns false while the item remains in the set). TacticalDataWrapper.removeElement ignores the boolean result, so deleting such a cut silently does nothing while the UI reports success. Same pattern in TMAContactWrapper L573-L599 and DynamicTrackShapes.DynamicTrackShapeWrapper L199-L225.",L736-L762; TacticalDataWrapper L828,"REP/DPF sensor with three or more cuts sharing one DTG (e.g. multi-target sonar at the same second), then delete one of them from the Outline view","Break ties deterministically (e.g. by identityHashCode or an insertion sequence number stored in the cut) so compareTo is antisymmetric and transitive, or switch the container to a list keyed by time.",M,Requires understanding red-black tree navigation with a non-antisymmetric comparator; the code comments assert the opposite of what happens.,TMAContactWrapper L573-L599; DynamicTrackShapeWrapper L199-L225,
CR-028,A6,org.mwc.debrief.legacy,Debrief.Wrappers,TMAWrapper,org.mwc.debrief.legacy/src/Debrief/Wrappers/TMAWrapper.java,algorithm-correctness,angle-wrap,High,High,verified,createItem interpolates radians against a 180-degree wrap threshold,"TMAContactWrapper.getCourse()/getBearingRads() return radians, but LinearInterpolator.interp's wrap check compares the difference with 180, so a course change from 350 to 10 degrees is interpolated the long way (midpoint 180 degrees, verified) and then converted with Rads2Degs. Resampled TMA solutions get wrong target course and wrong bearing for range/bearing-defined solutions.",L505; L529,"TMA solution whose consecutive entries have courses 350 and 010 (or bearings either side of north), then 'Resample data at' on the TMA layer",Interpolate in degrees (_targetCourseDegs) or convert to degrees before calling interp; add a unit test crossing north.,S,Needs the unit of getCourse() on TMAContactWrapper and the threshold inside a helper in another class; not grep-able.,-,
