id,slice,plugin,package,class,file_path,category,issue_type,severity,confidence,status,title,description,instances,trigger_input,suggested_fix,effort,llm_value,related,github_issue
CR-050,A1,org.mwc.asset.ScenarioController2,org.mwc.asset.scenariocontroller2,CoreControllerPresenter,org.mwc.asset.ScenarioController2/src/org/mwc/asset/scenariocontroller2/CoreControllerPresenter.java,security,xxe,Medium,High,candidate,Dropped file sniffed with unhardened DocumentBuilder and parsed as a URI,"getFirstNodeName() fully parses any file dropped onto the scenario controller with a default DocumentBuilderFactory (entities and DTDs enabled) just to read the root element name; it also passes the raw path to builder.parse(String), which treats it as a URI, so paths containing '#' or '%' fail. SAXException is not caught and propagates as Exception.",L124-L140,Drop a control file containing a DOCTYPE with an external entity onto the Scenario Controller view,"Harden the factory (secure processing, disallow-doctype-decl) and parse via new File(path) or a FileInputStream; consider a streaming StAX peek that stops at the first START_ELEMENT.",S,grep-able,CWE-611,
CR-051,A1,org.mwc.asset.ScenarioController2,org.mwc.asset.scenariocontroller2,MultiScenarioPresenter,org.mwc.asset.ScenarioController2/src/org/mwc/asset/scenariocontroller2/MultiScenarioPresenter.java,bug,null-deref,Medium,High,candidate,Control-file load failure leaves _scenarioController null and is then derefer...,"importThisControlFile() failures are caught and logged but execution continues to _scenarioController.observerList and isRelativePath(tgtDir), so a malformed control file produces an NPE in the UI thread rather than an error message; importThisControlFile also returns null when the file has no ScenarioController element, and outputDirectory is null when the attribute is absent (NPE in isRelativePath at thePath.length()). The controlType dispatch at L534-L535 compares Strings with == and relies on interning.",L526-L558,"Drop an .xml control file with a syntax error, or one lacking OutputDirectory, onto the Multi Scenario view",Return after logging when import fails or the container/directory is null; use equals() for the type comparison.,S,Needs following the caught-exception path into the following statements.,CoreControllerPresenter L148-L170,
CR-052,A1,org.mwc.asset.legacy,ASSET.Util.MonteCarlo,ScenarioGenerator,org.mwc.asset.legacy/src/ASSET/Util/MonteCarlo/ScenarioGenerator.java,bug,locale-parsing,Medium,High,candidate,Generated XML re-encoded through the platform default charset,"writeToString() serialises with a Transformer (UTF-8 output by default) into a ByteArrayOutputStream and then calls bos.toString() (platform charset); writeTheseToFile() writes the resulting String with FileWriter (platform charset again). On a non-UTF-8 default locale any non-ASCII text in the scenario is corrupted while the file still declares encoding=""UTF-8"", so the generated scenarios fail to parse or contain mojibake.",L539-L562; L564-L587; L1000-L1003; L1041-L1049,"Template with participant name containing an accented character, generated on a Windows cp1252 machine",Use bos.toString(StandardCharsets.UTF_8) and write with an OutputStreamWriter in UTF-8 (or stream the Transformer directly to the file).,S,grep-able,SupportTesting L170-L192 same pattern,
CR-053,A1,org.mwc.asset.legacy,ASSET.Util.MonteCarlo,ScenarioGenerator,org.mwc.asset.legacy/src/ASSET/Util/MonteCarlo/ScenarioGenerator.java,bug,null-deref,Medium,High,candidate,readDocumentFrom returns null on parse failure; callers dereference it,"readDocumentFrom(InputSource) catches SAXException/IOException, prints the stack trace and returns null; readDocumentFrom(InputStream) does the same for IOException. validateThisDocument() then calls getIt.getNodeType() on the null (NPE instead of the intended error string) and contains the no-op 'scrapNodeType = scrapNodeType++'. Other callers of readDocumentFrom in the Monte Carlo code receive null documents on malformed input.",L477-L490; L495-L506; L515-L533,Run scenario generation with a scenario template that is not well-formed XML,Let the exceptions propagate (or wrap them in a checked ImportException) and remove the dead scrapNodeType code.,S,grep-able,-,
CR-075,A3,org.mwc.asset.legacy,ASSET.Util.jip.rmi,RMIDiscovery,org.mwc.asset.legacy/src/ASSET/Util/jip/rmi/RMIDiscovery.java,security,unsafe-deserialization,Medium,High,candidate,Unauthenticated ServerSocket deserializes first inbound connection (double re...,"startListener binds a ServerSocket on all interfaces in a configurable port range (L252-L254), accepts one connection from anyone (L269), wraps it in an unfiltered ObjectInputStream, readObject()s a MarshalledObject and then calls mo.get() which deserializes a second attacker-controlled payload (L270-L273). The result is stored as the RMI service reference without checking it implements _serviceInterface. No callers of RMIDiscovery/RMILookup exist in the repository, so this is dead code, but it is shipped in the ASSET bundle. RuntimeExceptions from readObject also escape the thread (only IOException/ClassNotFoundException are caught, L277-L280).",L252-L261; L269-L273; L277-L281,"While lookup() is running, an attacker on the LAN connects to the advertised port and sends a serialized gadget/SerialDOS stream (the multicast request at L302 even tells them the port).","Remove the jip RMI discovery package, or if kept, apply ObjectInputFilter, verify the returned Remote is an instance of _serviceInterface, and bind to loopback or authenticate peers.",S,Grep finds ObjectInputStream but the double-deserialization via MarshalledObject.get and the accept-from-anyone design need reading.,-,
CR-078,A3,org.mwc.debrief.dis,edu.nps.moves.disutil,PduFactory,org.mwc.debrief.dis/src/edu/nps/moves/disutil/PduFactory.java,bug,swallowed-exception,Medium,High,candidate,Truncated/malformed PDUs are returned half-initialised because unmarshal swal...,"createPdu(byte[]) calls aPdu.unmarshal(dis) and returns aPdu unconditionally (L116-L237). Every edu.nps.moves.dis unmarshal() (e.g. EntityStatePdu L570-L596, DataPdu L237-L260, VariableDatum) wraps parsing in `catch (Exception e) { System.out.println(e); }`, so an EOFException from a short datagram leaves fields at their defaults (location 0,0,0, timestamp 0, empty lists) and the PDU is still dispatched to fix/event listeners as valid data. createPdu also ignores DatagramPacket.getLength() and pduLength (Pdu.unmarshal L370) so trailing buffer bytes are parsed as payload. The ByteBuffer variant at L257 indexes PduType.lookup without the bounds guard used at L97-L101 (unused in Debrief).",L85-L237; L247-L260,"A 20-byte datagram with PDU type 1 (EntityState): a fix at lat/lon 0,0 time 0 is added to the live plot.",Have unmarshal propagate a checked exception (or return false) and drop PDUs that fail to parse; pass packet.getLength() into the DataInputStream and validate pduLength against it.,M,Needs understanding of how generated open-dis code and the factory interact; a grep for empty catch blocks finds thousands of hits.,-,
CR-079,A3,org.mwc.debrief.dis,org.mwc.debrief.dis.runner,SimulationRunner,org.mwc.debrief.dis/src/org/mwc/debrief/dis/runner/SimulationRunner.java,bug,api-misuse,Medium,High,candidate,Child simulator stderr never drained; output pump drops lines and spins,"run() launches the external simulator (L55) but only reads stdout (L57); nothing consumes getErrorStream(), so a simulator writing more than the OS pipe buffer to stderr blocks forever. The pump thread (L59-L92) reads one line, then tests exitValue() and terminates as soon as the process has exited, discarding any remaining buffered stdout lines; if the child closes stdout while still running, readLine() returns null immediately and the loop busy-spins at 100% CPU. stop() nulls oThread without signalling _terminated (L106-L117).",L55-L92; L106-L117,"Configure a simulator script that prints a long stack trace to stderr, or one that closes stdout and keeps running.","Use ProcessBuilder.redirectErrorStream(true), loop `while ((line = readLine()) != null)` (EOF is the termination signal), and make _terminated volatile/set it in stop().",S,"Standard Process-handling pitfalls, but the line-dropping and spin behaviour require reading the loop logic.",-,
CR-084,A4,org.mwc.debrief.pepys,-,c3p0-0.9.5.5.jar,org.mwc.debrief.pepys/libs/c3p0-0.9.5.5.jar,supply-chain,vulnerable-dependency,Medium,Low,candidate,c3p0 0.9.5.5 / mchange-commons-java 0.2.20 flagged by four 2026 advisories,"OSV reports CVE-2026-27830 (HIGH) and CVE-2026-55223 for com.mchange:c3p0 0.9.5.5 and CVE-2026-27727 / CVE-2026-55153 (HIGH) for com.mchange:mchange-commons-java 0.2.20; c3p0 has had no release since 2019. ComboPooledDataSource is instantiated directly (PostgresDatabaseConnection L147, SqliteDatabaseConnection L144) for every Pepys connection. Exploitability in Debrief could not be assessed here because the advisory texts were not fetched; marked Low confidence on impact.",org.mwc.debrief.pepys/META-INF/MANIFEST.MF L8-L15; org.mwc.debrief.pepys/src/main/java/org/mwc/debrief/pepys/model/db/PostgresDatabaseConnection.java L147-L153; org.mwc.debrief.pepys/src/main/java/org/mwc/debrief/pepys/model/db/SqliteDatabaseConnection.java L144,Depends on advisory details; Pepys connects with attacker-influenced configuration.,"Read the four advisories; replace c3p0 with HikariCP (actively maintained, ~150 KB) or drop pooling since Pepys opens a single connection.",S,grep-able,CVE-2026-27830; CVE-2026-55223; CVE-2026-27727; CVE-2026-55153,
CR-085,A4,org.mwc.debrief.pepys,-,postgresql-42.2.11.jar,org.mwc.debrief.pepys/libs/postgresql-42.2.11.jar,supply-chain,vulnerable-dependency,Medium,Medium,candidate,pgjdbc 42.2.11 (8 CVEs) used for Pepys database import,"postgresql-42.2.11 (Mar 2020) is affected by CVE-2020-13692 (XXE in PgSQLXML when reading XML columns from a hostile server), CVE-2022-21724 (arbitrary class instantiation from connection properties), CVE-2022-31197 (SQL injection in ResultSet.refreshRow), CVE-2022-41946 (world-readable temp files for large prepared-statement parameters), CVE-2024-1597 (SQL injection when preferQueryMode=simple) and CVE-2026-42198. PostgresDatabaseConnection.initialize L140-153 builds the JDBC URL and user/password from the Pepys configuration file the analyst loads, so a malicious config or server controls the driver; simple query mode is not enabled, so CVE-2024-1597 does not apply.",org.mwc.debrief.pepys/META-INF/MANIFEST.MF L8-L15; org.mwc.debrief.pepys/src/main/java/org/mwc/debrief/pepys/model/db/PostgresDatabaseConnection.java L140-L153,A shared Pepys .ini pointing at an attacker-run PostgreSQL that returns crafted XML/refreshRow responses; or CVE-2022-41946 temp-file exposure on multi-user hosts.,"Upgrade to org.postgresql:postgresql 42.7.x (drop-in) and set ssl=true by default instead of the hard-coded ""ssl"",""false"" at L145.",S,grep-able for version; reachability needed reading the config-driven connection code.,CVE-2020-13692; CVE-2022-21724; CVE-2022-31197; CVE-2022-41946; CVE-2024-1597; CVE-2026-42198,
CR-086,A4,org.mwc.debrief.pepys,-,sqlite-jdbc-3.30.1.jar,org.mwc.debrief.pepys/libs/sqlite-jdbc-3.30.1.jar,supply-chain,vulnerable-dependency,Medium,Medium,candidate,sqlite-jdbc 3.30.1 (CVE-2023-32697) + load_extension on user-supplied DBs,"sqlite-jdbc before 3.41.2.2 allows code execution through a crafted JDBC URL (CVE-2023-32697, native library written to a predictable temp path) and the bundled SQLite 3.30.1 (2019) lacks four years of upstream fixes. SqliteDatabaseConnection.initialize L141-142 additionally calls SQLiteConfig.enableLoadExtension(true) before opening whichever .sqlite file the Pepys configuration names (L149-158), so any SQL executed against a hostile database that defines views/triggers invoking load_extension() loads native code.",org.mwc.debrief.pepys/META-INF/MANIFEST.MF L8-L15; org.mwc.debrief.pepys/src/main/java/org/mwc/debrief/pepys/model/db/SqliteDatabaseConnection.java L141-L160,A shared Pepys SQLite export whose 'States' view is redefined as SELECT load_extension('\\evil\share\x.dll').,"Upgrade to org.xerial:sqlite-jdbc 3.46+, load SpatiaLite explicitly via a fixed path and turn enableLoadExtension back off after loading it.",S,Needed to connect the driver CVE with the enableLoadExtension setting and the config-supplied file path.,CVE-2023-32697,
CR-122,A8,org.mwc.asset.legacy,ASSET.Models.Decision,Switch,org.mwc.asset.legacy/src/ASSET/Models/Decision/Switch.java,bug,degenerate-input,Medium,High,candidate,Switch.decide uses elementAt(index-1) with default index 0 -> ArrayIndexOutOf...,"_selectedActivity defaults to 0 (L136) while decide indexes _myDecisions.elementAt(getIndex()-1) (L167); a Switch behaviour without an explicit Index (or with Index larger than the number of children) crashes the scenario step with ArrayIndexOutOfBoundsException, which CoreScenario does not catch for decisions.",L136; L167,Scenario XML with a <Switch> behaviour lacking the Index attribute or with fewer children than Index.,Validate index range in decide (return null / log) and default to 1.,S,grep-able,-,
CR-123,A8,org.mwc.asset.legacy,ASSET.Models.Detection,DetectionList,org.mwc.asset.legacy/src/ASSET/Models/Detection/DetectionList.java,bug,null-deref,Medium,High,candidate,Copy constructor leaves _thePeriod null; nearest/most-recent lookups NPE or t...,"DetectionList(Collection) (L192-L194) does not initialise _thePeriod, so add()/extend()/getTimeCoverage() on such a list NPE (L207, L222). SensorList.detects builds one at L248. getNearestDetection filters on getEstimatedRange()!=null but the comparator dereferences getRange() (L398-L400), which is null for bearing-only sensors (canProduceRange=false) whose getEstimatedRange is a constant (BroadbandSensor L218-L220) -> NPE; getBestDetection/getMostRecentDetection call ss.last() on an empty set (L257, L378) -> NoSuchElementException, and their TreeSets collapse equal-key events so the returned element is arbitrary.",L192-L194; L207; L257; L378; L389-L423,Decision behaviour calling detections.getNearestDetection() with two bearing-only broadband contacts.,Initialise _thePeriod in the copy constructor; compare on getEstimatedRange(); return null for empty lists.,S,Requires cross-checking filter vs comparator field.,-,
CR-124,A8,org.mwc.asset.legacy,ASSET.Models.Environment.Mediums,BroadbandMedium,org.mwc.asset.legacy/src/ASSET/Models/Environment/Mediums/BroadbandMedium.java,algorithm-correctness,unit-mismatch,Medium,High,candidate,"Propagation loss mixes metres and yards: absorption dB/kyd applied to km, spr...","getLossBetween converts range with Degs2m (metres) into a variable named rng_yds (L60) and then applies ABSORPTION_COEFFICIENT_DB_PER_KY (dB per kiloyard) to rng_yds/1000 (L71-L74), i.e. per kilometre; the 20*log10 spreading term is also referenced to 1 m instead of 1 yd. Absorption is under-estimated by ~9% and spreading offset by 0.78 dB, shifting every passive/active detection range in the environment model.",L60; L68-L74,Target at 20 kyd (18288 m): code returns 20log10(18288)+0.08*18.288=86.7 dB; the intended yards formula gives 20log10(20000)+0.08*20=87.6 dB.,Use Conversions.Degs2Yds(rng_degs) for rng_yds (or rename and change the coefficient to dB/km consistently).,S,Requires matching the variable/constant units against the conversion actually called.,-,
CR-125,A8,org.mwc.asset.legacy,ASSET.Models.Sensor.Cookie,TypedCookieSensor,org.mwc.asset.legacy/src/ASSET/Models/Sensor/Cookie/TypedCookieSensor.java,algorithm-correctness,nondeterminism,Medium,High,candidate,Bearing noise drawn from a fresh unseeded java.util.Random on every detection,"When ApplyNoise is set, detectThis creates 'new Random()' per detection (L517) and adds MEAN + nextGaussian()*STANDARD_DEVIATION. The noise ignores RandomGenerator.seed(), so noisy-bearing runs are not reproducible; creating a Random per call is also needlessly slow.",L515-L518,Cookie-cutter sensor with ApplyNoise=true under a seeded Monte-Carlo run: bearings differ between repeated runs.,Use RandomGenerator.generateNormalValue(STANDARD_DEVIATION) + MEAN.,S,grep-able,-,
CR-126,A8,org.mwc.asset.legacy,ASSET.Models.Sensor.Cookie,TypedCookieSensor,org.mwc.asset.legacy/src/ASSET/Models/Sensor/Cookie/TypedCookieSensor.java,algorithm-correctness,logic-error,Medium,High,candidate,Detection-period gating applies only once per target: _timesGained never clea...,"When a doublet has a Period, the first time a target comes in range its gain time is recorded (L490) and detection suppressed until 'required' elapses. The removal on losing contact is commented out (L469-L473) and restart() is not overridden, so once a target has ever been in range, all later regains (and all subsequent Monte-Carlo restarts of the same scenario object) detect instantly. The intended 'time-to-gain' behaviour silently degrades after the first contact.",L466-L497,"Cookie sensor with Period=5 min; target enters range, leaves, re-enters: second entry is detected at the first scan.",Remove the target's entry from _timesGained when not detected; clear _timesGained in an overridden restart().,S,Requires understanding intended state machine; commented-out line is a hint.,-,
CR-127,A8,org.mwc.asset.legacy,ASSET.Models.Sensor,CoreSensor,org.mwc.asset.legacy/src/ASSET/Models/Sensor/CoreSensor.java,bug,performance,Medium,High,candidate,Sensor-offset back-track grows without bound: a fix is appended for every tar...,"getHostLocationFor is called from detectThis for every candidate target each scan; when a sensor offset is set it appends a new FixWrapper to _backTrack every call (L472-L476) and never trims it, so a long run with N targets adds N fixes per step (many at identical times) and memory/lookup cost grows linearly for the whole scenario; restart only clears it between runs (L657-L660).",L467-L499,"Towed-array sensor with SensorOffset set, 20 targets, 1 s step, 12 h run: ~860k fixes retained in one TrackWrapper.","Add one fix per (participant,time) and prune fixes older than the array length + margin.",S,Requires understanding call frequency of the method.,-,
CR-128,A8,org.mwc.asset.legacy,ASSET.Models.Sensor.Initial,ActiveBroadbandSensor,org.mwc.asset.legacy/src/ASSET/Models/Sensor/Initial/ActiveBroadbandSensor.java,algorithm-correctness,logic-error,Medium,Medium,candidate,Active sonar only 'detects' targets that radiate passive noise and omits targ...,"canDetectThisType returns other.radiatesThisNoise(BROADBAND_PASSIVE) (L167-L171), so a silent target (no BroadbandRadNoise) is never candidate for active detection; getTgtNoise returns the sensor's own source level (L236-L240) with no target-strength term, so the active sonar equation is SL - 2TL - NL + DI - DT with TS fixed at 0 dB and all targets equally reflective. Combined with SensorList.getRadiatedNoiseFor the transmission also does not count as radiated noise for passive listeners (medium mismatch).",L167-L171; L196-L200; L236-L240,Scenario with an ActiveBroadbandSensor and a target without any radiated-noise characteristics: no detections ever.,Gate on the target having reflected characteristics (Medium.reflectedEnergyFor) and add a TS term from RadiatedCharacteristics.reflectedEnergyFor.,M,Requires sonar-equation knowledge.,-,
